"Submit_ID","Brand_Reg","Model_No","SoldIn","Screen_Tech","Avg_mode_power","Star2","ScreenSize_Category"
158176,"LG","43QNED80T6A","Australia,New Zealand","LCD (LED)",67,4,"43 inch"
158177,"LG","43QNED81TSA","Australia,New Zealand","LCD (LED)",67,4,"43 inch"
158180,"LG","50QNED81TSA","Australia,New Zealand","LCD (LED)",72,5,"50 inch"
158182,"LG","55QNED81TSA","Australia,New Zealand","LCD (LED)",92,5,"50 inch"
158183,"LG","55QNED86T6A","Australia,New Zealand","LCD (LED)",94,4.5,"50 inch"
158184,"LG","55QNED86TSA","Australia,New Zealand","LCD (LED)",94,4.5,"50 inch"
158185,"LG","65QNED80T6A","Australia,New Zealand","LCD (LED)",109,5.5,"55 inch"
158186,"LG","65QNED81TSA","Australia,New Zealand","LCD (LED)",109,5.5,"55 inch"
158188,"LG","75QNED80T6A","Australia,New Zealand","LCD (LED)",126,6,"65 inch"
158189,"LG","75QNED81TSA","Australia,New Zealand","LCD (LED)",126,6,"65 inch"
158190,"LG","OLED42C4PSA","Australia,New Zealand","OLED",70,4,"43 inch"
158192,"LG","OLED42C44LA","Australia,New Zealand","OLED",70,4,"43 inch"
158193,"LG","OLED48C4PSA","Australia,New Zealand","OLED",79,4.5,"50 inch"
158194,"LG","OLED48C46LA","Australia,New Zealand","OLED",79,4.5,"50 inch"
158195,"LG","OLED55C4PSA","Australia,New Zealand","OLED",100,4.5,"50 inch"
158196,"LG","OLED55C46LA","Australia,New Zealand","OLED",100,4.5,"50 inch"
158197,"LG","OLED55G4PSA","Australia,New Zealand","OLED",115,4,"50 inch"
158198,"LG","OLED55G46LA","Australia,New Zealand","OLED",115,4,"50 inch"
158199,"LG","OLED65B4PSA","Australia,New Zealand","OLED",109,5.5,"55 inch"
158200,"LG","OLED65B46LA","Australia,New Zealand","OLED",109,5.5,"55 inch"
158201,"LG","OLED65G4PSA","Australia,New Zealand","OLED",147,4,"55 inch"
158202,"LG","OLED65G46LA","Australia,New Zealand","OLED",147,4,"55 inch"
158203,"LG","OLED77G4PSA","Australia,New Zealand","OLED",195,4.5,"75 inch+"
158204,"LG","OLED77G46LA","Australia,New Zealand","OLED",195,4.5,"75 inch+"
158218,"EKO","K500UAT","Australia,Fiji,New Zealand","LCD (LED)",91.8,3.5,"50 inch"
158220,"SAMSUNG ELECTRONICS","QA55QN90DAW","Australia,Fiji,New Zealand","LCD (LED)",114,4,"50 inch"
158220,"SAMSUNG ELECTRONICS","QA55QN90DAS","Australia,Fiji,New Zealand","LCD (LED)",114,4,"50 inch"
158220,"SAMSUNG ELECTRONICS","QA55QN90DA","Australia,Fiji,New Zealand","LCD (LED)",114,4,"50 inch"
158222,"SAMSUNG ELECTRONICS","QA65QN90DAW","Australia,Fiji,New Zealand","LCD (LED)",138,4.5,"65 inch"
158222,"SAMSUNG ELECTRONICS","QA65QN90DAS","Australia,Fiji,New Zealand","LCD (LED)",138,4.5,"65 inch"
158222,"SAMSUNG ELECTRONICS","QA65QN90DA","Australia,Fiji,New Zealand","LCD (LED)",138,4.5,"65 inch"
158236,"KOGAN","KAQL50XQ98GSVA","Australia,Fiji,New Zealand","LCD (LED)",104.46,3.5,"50 inch"
158237,"KOGAN","KAQL55XQ98GSVA","Australia,Fiji,New Zealand","LCD (LED)",127.86,3.5,"50 inch"
158242,"SYLVOX","BT32A0KEGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A1KEGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A0KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A1KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A2KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A3KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A4KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A5KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
158242,"SYLVOX","BT32A6KOGB","Australia,Fiji,New Zealand","LCD (LED)",27,6,"32 inch"
